,Product_names,Prices,Rating
199,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹24,999",4.5
200,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹25,999",4.5
201,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹25,999",4.5
202,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999",4.5
203,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999",4.5
204,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹24,999",4.5
205,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹24,999",4.3
206,"vivo V27 5G (Magic Blue, 128 GB)","₹32,999",4.4
207,"vivo V27 5G (Noble Black, 128 GB)","₹32,999",4.4
208,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","₹24,999",4.3
209,"POCO X5 Pro 5G (Astral Black, 128 GB)","₹22,999",4.4
210,"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹27,999",4.3
211,"Nothing Phone (1) (Black, 128 GB)","₹29,999",4.4
212,"MOTOROLA edge 30 (Meteor Grey, 128 GB)","₹23,199",4.1
213,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹21,995",4.3
214,"APPLE iPhone 11 (Black, 128 GB)","₹45,999",4.6
215,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)","₹23,990",4.2
216,"APPLE iPhone 14 (Purple, 128 GB)","₹71,999",4.6
217,"APPLE iPhone 14 (Midnight, 128 GB)","₹71,999",4.6
218,"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹22,999",4.4
219,"Google Pixel 6a (Chalk, 128 GB)","₹29,999",4.3
220,"Google Pixel 6a (Charcoal, 128 GB)","₹29,999",4.3
221,"APPLE iPhone 14 (Starlight, 128 GB)","₹71,999",4.6
222,"realme 10 Pro+ 5G (Nebula Blue, 256 GB)","₹27,999",4.5
223,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹24,999",4.5
224,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹25,999",4.5
225,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹25,999",4.5
226,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999",4.5
227,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999",4.5
228,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹24,999",4.5
229,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹24,999",4.3
230,"vivo V27 5G (Magic Blue, 128 GB)","₹32,999",4.4
231,"vivo V27 5G (Noble Black, 128 GB)","₹32,999",4.4
232,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","₹24,999",4.3
233,"POCO X5 Pro 5G (Astral Black, 128 GB)","₹22,999",4.4
234,"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹27,999",4.3
235,"Nothing Phone (1) (Black, 128 GB)","₹29,999",4.4
236,"MOTOROLA edge 30 (Meteor Grey, 128 GB)","₹23,199",4.1
237,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹21,995",4.3
238,"APPLE iPhone 11 (Black, 128 GB)","₹45,999",4.6
239,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)","₹23,990",4.2
